Metin,Durum,metin_lower,metin_cleaned,metin_tokenized,metin_nostop,metin_lemmatized,metin_stemmed
Ürün sadece aldığım gün güzel bir şekilde kesti. sonrasında saatlerce uğraşıp sadece sakalımı toplayabildim. Allah kahretsin başka bı makine alacam ama bu sefer powertec mi ? ASLA,0,ürün sadece aldığım gün güzel bir şekilde kesti. sonrasında saatlerce uğraşıp sadece sakalımı toplayabildim. allah kahretsin başka bı makine alacam ama bu sefer powertec mi ? asla,ürün sadece aldığım gün güzel bir şekilde kesti. sonrasında saatlerce uğraşıp sadece sakalımı toplayabildim. allah kahretsin başka bı makine alacam ama bu sefer powertec mi ? asla,"['ürün', 'sadece', 'aldığım', 'gün', 'güzel', 'bir', 'şekilde', 'kesti', 'sonrasında', 'saatlerce', 'uğraşıp', 'sadece', 'sakalımı', 'toplayabildim', 'allah', 'kahretsin', 'başka', 'bı', 'makine', 'alacam', 'ama', 'bu', 'sefer', 'powertec', 'mi', 'asla']","['ürün', 'sadece', 'aldığım', 'gün', 'güzel', 'bir', 'şekilde', 'kesti', 'sonrasında', 'saatlerce', 'uğraşıp', 'sadece', 'sakalımı', 'toplayabildim', 'allah', 'kahretsin', 'başka', 'bı', 'makine', 'alacam', 'sefer', 'powertec', 'mi', 'asla']","['ürün', 'sade', 'aldık', 'gün', 'güzel', 'bir', 'şekil', 'kes', 'sonra', 'saatlerce', 'uğraşıp', 'sade', 'sakalı', 'toplayabil', 'Allah', 'kahret', 'başka', '', 'makine', 'alaca', 'sefer', '', 'mi', 'asla']","['ürün', 'sade', 'aldık', 'gün', 'güzel', 'bir', 'şekil', 'ke', 'sonra', 'saatlerc', 'uğraşıp', 'sade', 'sakalı', 'toplayabil', 'allah', 'kahret', 'başka', '', 'makin', 'alaca', 'sefer', '', 'mi', 'asla']"
denedim ürün çok güzel herkese tavsiye ederim,1,denedim ürün çok güzel herkese tavsiye ederim,denedim ürün çok güzel herkese tavsiye ederim,"['denedim', 'ürün', 'çok', 'güzel', 'herkese', 'tavsiye', 'ederim']","['denedim', 'ürün', 'güzel', 'herkese', 'tavsiye', 'ederim']","['dene', 'ürün', 'güzel', 'herkes', 'tavsiye', 'eder']","['dene', 'ürün', 'güzel', 'herk', 'tavsiy', 'eder']"
ürün harika tam istediğim gibi ayrıca mağazaya da teşekkürler hızlı oldukları için,1,ürün harika tam istediğim gibi ayrıca mağazaya da teşekkürler hızlı oldukları için,ürün harika tam istediğim gibi ayrıca mağazaya da teşekkürler hızlı oldukları için,"['ürün', 'harika', 'tam', 'istediğim', 'gibi', 'ayrıca', 'mağazaya', 'da', 'teşekkürler', 'hızlı', 'oldukları', 'için']","['ürün', 'harika', 'tam', 'istediğim', 'ayrıca', 'mağazaya', 'teşekkürler', 'hızlı', 'oldukları']","['ürün', 'harika', 'tam', 'istedik', 'ayrı', 'mağaza', 'teşekkür', 'hızlı', 'olduk']","['ürün', 'harika', 'tam', 'istedik', 'ayrı', 'mağaza', 'teşekkür', 'hızlı', 'olduk']"
Ürün hala elime geçmedi,0,ürün hala elime geçmedi,ürün hala elime geçmedi,"['ürün', 'hala', 'elime', 'geçmedi']","['ürün', 'hala', 'elime', 'geçmedi']","['ürün', 'hala', 'elim', 'geç']","['ürün', 'hala', 'elim', 'geç']"
Bir kere kullandım memnun kaldım,1,bir kere kullandım memnun kaldım,bir kere kullandım memnun kaldım,"['bir', 'kere', 'kullandım', 'memnun', 'kaldım']","['bir', 'kere', 'kullandım', 'memnun', 'kaldım']","['bir', 'kere', 'kullan', 'memnun', 'kal']","['bir', 'kere', 'kullan', 'memnun', 'kal']"
35 TL ye berber makinesi powertec almıştım. 300 liraya aldığım dünya markası yerine onu kullandım. powertec yine şaşırtmadı harika bir ürün. genelde sakal kesiyorum çok iyi kesiyor. hiç yoruma felan bakmayın daha alın gitsin.,1,35 tl ye berber makinesi powertec almıştım. 300 liraya aldığım dünya markası yerine onu kullandım. powertec yine şaşırtmadı harika bir ürün. genelde sakal kesiyorum çok iyi kesiyor. hiç yoruma felan bakmayın daha alın gitsin.,35 tl ye berber makinesi powertec almıştım. 300 liraya aldığım dünya markası yerine onu kullandım. powertec yine şaşırtmadı harika bir ürün. genelde sakal kesiyorum çok iyi kesiyor. hiç yoruma felan bakmayın daha alın gitsin.,"['tl', 'ye', 'berber', 'makinesi', 'powertec', 'almıştım', 'liraya', 'aldığım', 'dünya', 'markası', 'yerine', 'onu', 'kullandım', 'powertec', 'yine', 'şaşırtmadı', 'harika', 'bir', 'ürün', 'genelde', 'sakal', 'kesiyorum', 'çok', 'iyi', 'kesiyor', 'hiç', 'yoruma', 'felan', 'bakmayın', 'daha', 'alın', 'gitsin']","['tl', 'ye', 'berber', 'makinesi', 'powertec', 'almıştım', 'liraya', 'aldığım', 'dünya', 'markası', 'yerine', 'onu', 'kullandım', 'powertec', 'yine', 'şaşırtmadı', 'harika', 'bir', 'ürün', 'genelde', 'sakal', 'kesiyorum', 'iyi', 'kesiyor', 'yoruma', 'felan', 'bakmayın', 'alın', 'gitsin']","['', 'ye', 'berber', 'makine', '', 'al', 'lira', 'aldık', 'dünya', 'marka', 'yerine', 'on', 'kullan', '', 'yine', 'şaşırt', 'harika', 'bir', 'ürün', 'genel', 'sakal', 'kes', 'iyi', 'kes', 'yorum', '', 'bak', 'al', 'git']","['', 'ye', 'berber', 'makin', '', 'al', 'lira', 'aldık', 'dünya', 'marka', 'yerin', 'on', 'kullan', '', 'yine', 'şaşırt', 'harika', 'bir', 'ürün', 'genel', 'sakal', 'ke', 'iyi', 'ke', 'yorum', '', 'bak', 'al', 'git']"
Ürün çalışıyor şimdilik,2,ürün çalışıyor şimdilik,ürün çalışıyor şimdilik,"['ürün', 'çalışıyor', 'şimdilik']","['ürün', 'çalışıyor', 'şimdilik']","['ürün', 'çalış', 'şimdilik']","['ürün', 'çalış', 'şimdilik']"
tam istedigim gbi orjinal,1,tam istedigim gbi orjinal,tam istedigim gbi orjinal,"['tam', 'istedigim', 'gbi', 'orjinal']","['tam', 'istedigim', 'gbi', 'orjinal']","['tam', '', '', '']","['tam', '', '', '']"
"Ürün, kullanım açısından kolay. Yanında 1mm 2mm 3mm başlıkları ile geliyor. Sakal traşım ve şekil verme konularında bir sıkıntısını görmedim.",1,"ürün, kullanım açısından kolay. yanında 1mm 2mm 3mm başlıkları ile geliyor. sakal traşım ve şekil verme konularında bir sıkıntısını görmedim.","ürün, kullanım açısından kolay. yanında 1mm 2mm 3mm başlıkları ile geliyor. sakal traşım ve şekil verme konularında bir sıkıntısını görmedim.","['ürün', 'kullanım', 'açısından', 'kolay', 'yanında', 'mm', 'mm', 'mm', 'başlıkları', 'ile', 'geliyor', 'sakal', 'traşım', 've', 'şekil', 'verme', 'konularında', 'bir', 'sıkıntısını', 'görmedim']","['ürün', 'kullanım', 'açısından', 'kolay', 'yanında', 'mm', 'mm', 'mm', 'başlıkları', 'geliyor', 'sakal', 'traşım', 'şekil', 'verme', 'konularında', 'bir', 'sıkıntısını', 'görmedim']","['ürün', 'kullanım', 'açı', 'kolay', 'yanında', '', '', '', 'başlık', 'gel', 'sakal', '', 'şekil', 'ver', 'konu', 'bir', 'sıkıntı', 'gör']","['ürün', 'kullanım', 'açı', 'kolay', 'yanında', '', '', '', 'başlık', 'gel', 'sakal', '', 'şekil', 'ver', 'konu', 'bir', 'sıkıntı', 'gör']"
hiç dusunmeden alın derim jilet gibi kesiyor,1,hiç dusunmeden alın derim jilet gibi kesiyor,hiç dusunmeden alın derim jilet gibi kesiyor,"['hiç', 'dusunmeden', 'alın', 'derim', 'jilet', 'gibi', 'kesiyor']","['dusunmeden', 'alın', 'derim', 'jilet', 'kesiyor']","['', 'al', 'deri', 'jilet', 'kes']","['', 'al', 'deri', 'jilet', 'ke']"
Ürün anlatıldığı gibi Hızlı kargo,1,ürün anlatıldığı gibi hızlı kargo,ürün anlatıldığı gibi hızlı kargo,"['ürün', 'anlatıldığı', 'gibi', 'hızlı', 'kargo']","['ürün', 'anlatıldığı', 'hızlı', 'kargo']","['ürün', 'anlatıldık', 'hızlı', 'kargo']","['ürün', 'anlatıldık', 'hızlı', 'kargo']"
"ürünü beğendim ve tekrar sipariş verdim. paketleme daha korunakli olmali,kargo poşedi yeterli degil bence.",1,"ürünü beğendim ve tekrar sipariş verdim. paketleme daha korunakli olmali,kargo poşedi yeterli degil bence.","ürünü beğendim ve tekrar sipariş verdim. paketleme daha korunakli olmali,kargo poşedi yeterli degil bence.","['ürünü', 'beğendim', 've', 'tekrar', 'sipariş', 'verdim', 'paketleme', 'daha', 'korunakli', 'olmalikargo', 'poşedi', 'yeterli', 'degil', 'bence']","['ürünü', 'beğendim', 'tekrar', 'sipariş', 'verdim', 'paketleme', 'korunakli', 'olmalikargo', 'poşedi', 'yeterli', 'degil', 'bence']","['ürün', 'beğen', 'tekrar', 'sipariş', 'verdi', 'paketle', '', '', '', 'yeterli', '', 'ben']","['ürün', 'beğen', 'tekrar', 'sipariş', 'verdi', 'paketl', '', '', '', 'yeterli', '', 'ben']"
baya iyi çok memnun kaldım,1,baya iyi çok memnun kaldım,baya iyi çok memnun kaldım,"['baya', 'iyi', 'çok', 'memnun', 'kaldım']","['baya', 'iyi', 'memnun', 'kaldım']","['bay', 'iyi', 'memnun', 'kal']","['bay', 'iyi', 'memnun', 'kal']"
Ürün anlatıldığı gibi bu fiyata bundan iyisini bulamazsın.. marka takıntısı olan yoksa bu ürün çok idaal... sakalları sıfıra yakın kesiyor...,1,ürün anlatıldığı gibi bu fiyata bundan iyisini bulamazsın.. marka takıntısı olan yoksa bu ürün çok idaal... sakalları sıfıra yakın kesiyor...,ürün anlatıldığı gibi bu fiyata bundan iyisini bulamazsın.. marka takıntısı olan yoksa bu ürün çok idaal... sakalları sıfıra yakın kesiyor...,"['ürün', 'anlatıldığı', 'gibi', 'bu', 'fiyata', 'bundan', 'iyisini', 'bulamazsın', 'marka', 'takıntısı', 'olan', 'yoksa', 'bu', 'ürün', 'çok', 'idaal', 'sakalları', 'sıfıra', 'yakın', 'kesiyor']","['ürün', 'anlatıldığı', 'fiyata', 'bundan', 'iyisini', 'bulamazsın', 'marka', 'takıntısı', 'olan', 'yoksa', 'ürün', 'idaal', 'sakalları', 'sıfıra', 'yakın', 'kesiyor']","['ürün', 'anlatıldık', 'fiyat', 'bun', 'iyi', 'bula', 'marka', 'takıntı', 'olan', 'yoksa', 'ürün', '', 'sakal', 'sıfır', 'yak', 'kes']","['ürün', 'anlatıldık', 'fiyat', 'bun', 'iyi', 'bula', 'marka', 'takıntı', 'olan', 'yoksa', 'ürün', '', 'sakal', 'sıfır', 'yak', 'ke']"
"güzel ürün f/p canavarı, dayanıklı çıkar umarım, teşekkürler",1,"güzel ürün f/p canavarı, dayanıklı çıkar umarım, teşekkürler","güzel ürün f/p canavarı, dayanıklı çıkar umarım, teşekkürler","['güzel', 'ürün', 'fp', 'canavarı', 'dayanıklı', 'çıkar', 'umarım', 'teşekkürler']","['güzel', 'ürün', 'fp', 'canavarı', 'dayanıklı', 'çıkar', 'umarım', 'teşekkürler']","['güzel', 'ürün', '', 'canavar', 'dayanıklı', 'çık', 'umar', 'teşekkür']","['güzel', 'ürün', '', 'canavar', 'dayanıklı', 'çık', 'umar', 'teşekkür']"
"Aynı gün kargoya verildi 1 gün sonra sabah elime ulaştı paketleme güzel, şarj standı sorunsuz çalışıyor usb ile de şarj oluyor kesimi gayet başarılı tavsiye ederim.",1,"aynı gün kargoya verildi 1 gün sonra sabah elime ulaştı paketleme güzel, şarj standı sorunsuz çalışıyor usb ile de şarj oluyor kesimi gayet başarılı tavsiye ederim.","aynı gün kargoya verildi 1 gün sonra sabah elime ulaştı paketleme güzel, şarj standı sorunsuz çalışıyor usb ile de şarj oluyor kesimi gayet başarılı tavsiye ederim.","['aynı', 'gün', 'kargoya', 'verildi', 'gün', 'sonra', 'sabah', 'elime', 'ulaştı', 'paketleme', 'güzel', 'şarj', 'standı', 'sorunsuz', 'çalışıyor', 'usb', 'ile', 'de', 'şarj', 'oluyor', 'kesimi', 'gayet', 'başarılı', 'tavsiye', 'ederim']","['aynı', 'gün', 'kargoya', 'verildi', 'gün', 'sonra', 'sabah', 'elime', 'ulaştı', 'paketleme', 'güzel', 'şarj', 'standı', 'sorunsuz', 'çalışıyor', 'usb', 'şarj', 'oluyor', 'kesimi', 'gayet', 'başarılı', 'tavsiye', 'ederim']","['aynı', 'gün', 'kargo', 'veril', 'gün', 'sonra', 'sabah', 'elim', 'ulaş', 'paketle', 'güzel', 'şarj', 'stant', 'sorunsuz', 'çalış', '', 'şarj', 'ol', 'kesim', 'gayet', 'başarılı', 'tavsiye', 'eder']","['aynı', 'gün', 'kargo', 'veril', 'gün', 'sonra', 'sabah', 'elim', 'ulaş', 'paketl', 'güzel', 'şarj', 'stant', 'sorunsuz', 'çalış', '', 'şarj', 'ol', 'kesim', 'gayet', 'başarılı', 'tavsiy', 'eder']"
"İlk önce tereddüt ettim ama iyiki almışım alalı 3 ay oldu 20 defa olmuştur sakal tıraşı oluyorum ,hiç şarja bağlamadan 20 ye yakın tıraş yaptı doldurunca nekadar gider Allah bilir. Bıçaklar çok kaliteli çekme koparma yapmıyor makina hızlı ve jiletin bir tık üstü kesiyor, Sessiz ve t bıçağı çok kullanışlı sakal ense için bire bir tavsiye ederim....",1,"i̇lk önce tereddüt ettim ama iyiki almışım alalı 3 ay oldu 20 defa olmuştur sakal tıraşı oluyorum ,hiç şarja bağlamadan 20 ye yakın tıraş yaptı doldurunca nekadar gider allah bilir. bıçaklar çok kaliteli çekme koparma yapmıyor makina hızlı ve jiletin bir tık üstü kesiyor, sessiz ve t bıçağı çok kullanışlı sakal ense için bire bir tavsiye ederim....","i̇lk önce tereddüt ettim ama iyiki almışım alalı 3 ay oldu 20 defa olmuştur sakal tıraşı oluyorum ,hiç şarja bağlamadan 20 ye yakın tıraş yaptı doldurunca nekadar gider allah bilir. bıçaklar çok kaliteli çekme koparma yapmıyor makina hızlı ve jiletin bir tık üstü kesiyor, sessiz ve t bıçağı çok kullanışlı sakal ense için bire bir tavsiye ederim....","['ilk', 'önce', 'tereddüt', 'ettim', 'ama', 'iyiki', 'almışım', 'alalı', 'ay', 'oldu', 'defa', 'olmuştur', 'sakal', 'tıraşı', 'oluyorum', 'hiç', 'şarja', 'bağlamadan', 'ye', 'yakın', 'tıraş', 'yaptı', 'doldurunca', 'nekadar', 'gider', 'allah', 'bilir', 'bıçaklar', 'çok', 'kaliteli', 'çekme', 'koparma', 'yapmıyor', 'makina', 'hızlı', 've', 'jiletin', 'bir', 'tık', 'üstü', 'kesiyor', 'sessiz', 've', 't', 'bıçağı', 'çok', 'kullanışlı', 'sakal', 'ense', 'için', 'bire', 'bir', 'tavsiye', 'ederim']","['ilk', 'önce', 'tereddüt', 'ettim', 'iyiki', 'almışım', 'alalı', 'ay', 'oldu', 'olmuştur', 'sakal', 'tıraşı', 'oluyorum', 'şarja', 'bağlamadan', 'ye', 'yakın', 'tıraş', 'yaptı', 'doldurunca', 'nekadar', 'gider', 'allah', 'bilir', 'bıçaklar', 'kaliteli', 'çekme', 'koparma', 'yapmıyor', 'makina', 'hızlı', 'jiletin', 'bir', 'tık', 'üstü', 'kesiyor', 'sessiz', 't', 'bıçağı', 'kullanışlı', 'sakal', 'ense', 'bire', 'bir', 'tavsiye', 'ederim']","['ilk', 'ön', 'tereddüt', 'et', 'iyi', 'al', 'alalı', 'ay', 'oldu', 'olmuş', 'sakal', 'tıraş', 'ol', 'şarj', 'bağlamadan', 'ye', 'yak', 'tıraş', 'yap', 'doldurunca', '', 'git', 'Allah', 'bilir', 'bıçak', 'kaliteli', 'çek', 'kopar', 'yap', '', 'hızlı', 'jilet', 'bir', 'tık', 'üst', 'kes', 'sessiz', '', 'bıçak', 'kullanışlı', 'sakal', 'ense', 'bir', 'bir', 'tavsiye', 'eder']","['ilk', 'ön', 'tereddüt', 'et', 'iyi', 'al', 'alalı', 'ay', 'oldu', 'olmuş', 'sakal', 'tıraş', 'ol', 'şarj', 'bağlamadan', 'ye', 'yak', 'tıraş', 'yap', 'doldurunca', '', 'git', 'allah', 'bilir', 'bıçak', 'kalit', 'çek', 'kopar', 'yap', '', 'hızlı', 'jilet', 'bir', 'tık', 'üst', 'ke', 'sessiz', '', 'bıçak', 'kullanışlı', 'sakal', 'ens', 'bir', 'bir', 'tavsiy', 'eder']"
"Sakal için ideal, saç için kullanmıyorum. Philips makinalar para tuzağı.",1,"sakal için ideal, saç için kullanmıyorum. philips makinalar para tuzağı.","sakal için ideal, saç için kullanmıyorum. philips makinalar para tuzağı.","['sakal', 'için', 'ideal', 'saç', 'için', 'kullanmıyorum', 'philips', 'makinalar', 'para', 'tuzağı']","['sakal', 'ideal', 'saç', 'kullanmıyorum', 'philips', 'makinalar', 'para', 'tuzağı']","['sakal', 'ideal', 'saç', 'kullan', '', '', 'para', 'tuzak']","['sakal', 'ideal', 'saç', 'kullan', '', '', 'para', 'tuzak']"
Ürün güzel beğendim,1,ürün güzel beğendim,ürün güzel beğendim,"['ürün', 'güzel', 'beğendim']","['ürün', 'güzel', 'beğendim']","['ürün', 'güzel', 'beğen']","['ürün', 'güzel', 'beğen']"
Merhabalar ürün anlatıldığı gibi geldi.Eksiksiz ve gayet şık.Daha kullanmadim.Ancak almadan önce arastirmistim.Ona göre sipariş verdim.,1,merhabalar ürün anlatıldığı gibi geldi.eksiksiz ve gayet şık.daha kullanmadim.ancak almadan önce arastirmistim.ona göre sipariş verdim.,merhabalar ürün anlatıldığı gibi geldi.eksiksiz ve gayet şık.daha kullanmadim.ancak almadan önce arastirmistim.ona göre sipariş verdim.,"['merhabalar', 'ürün', 'anlatıldığı', 'gibi', 'geldieksiksiz', 've', 'gayet', 'şıkdaha', 'kullanmadimancak', 'almadan', 'önce', 'arastirmistimona', 'göre', 'sipariş', 'verdim']","['merhabalar', 'ürün', 'anlatıldığı', 'geldieksiksiz', 'gayet', 'şıkdaha', 'kullanmadimancak', 'almadan', 'önce', 'arastirmistimona', 'göre', 'sipariş', 'verdim']","['merhaba', 'ürün', 'anlatıldık', '', 'gayet', '', '', 'almadan', 'ön', '', 'göre', 'sipariş', 'verdi']","['merhaba', 'ürün', 'anlatıldık', '', 'gayet', '', '', 'almadan', 'ön', '', 'göre', 'sipariş', 'verdi']"
